id,nfo_type,quantity,entry_price,exit_price,profit,placed_at,exited_at,strike,option_type,strategy_id,strategy_name,symbol
2995,option,-100,155.0,239.7,8469.999999999998,2021-10-21 04:45:04.028374+00:00,2021-10-21 06:00:05.109418+00:00,18400,pe,2,Bank50 Pyramiding_1,NIFTY
7723,option,-100,151.8,143.35,-845.0000000000017,2021-11-03 07:05:01.195847+00:00,2021-11-03 08:30:01.524846+00:00,17900,pe,4,Nifty50 Pyramiding_10,NIFTY
2948,option,-100,177.3,272.05,9475.0,2021-10-21 04:15:01.265692+00:00,2021-10-21 06:15:01.146835+00:00,18450,pe,4,Nifty50 Pyramiding_10,NIFTY
2955,option,-100,160.05,272.05,11200.0,2021-10-21 04:20:01.041281+00:00,2021-10-21 06:15:01.146835+00:00,18450,pe,4,Nifty50 Pyramiding_10,NIFTY
2978,option,-100,183.4,272.05,8865.0,2021-10-21 04:35:00.895164+00:00,2021-10-21 06:15:01.146835+00:00,18450,pe,4,Nifty50 Pyramiding_10,NIFTY
2985,option,-100,151.75,222.85,7109.999999999999,2021-10-21 04:40:02.889152+00:00,2021-10-21 06:15:01.146835+00:00,18400,pe,4,Nifty50 Pyramiding_10,NIFTY
10518,option,-250,15.75,13.85,-475.0000000000001,2021-11-16 05:50:04.952143+00:00,2021-11-16 06:05:03.778217+00:00,3500,pe,13,Baj-Auto Pyramiding[10]_vol,BAJAJ-AUTO
10528,option,-250,15.7,13.85,-462.4999999999999,2021-11-16 05:56:14.555772+00:00,2021-11-16 06:05:03.778217+00:00,3500,pe,13,Baj-Auto Pyramiding[10]_vol,BAJAJ-AUTO
10515,option,-1200,12.9,11.6,-1560.000000000001,2021-11-16 05:50:04.028310+00:00,2021-11-16 06:45:34.957840+00:00,730,pe,16,AxisBank Pyramiding_10_atm,AXISBANK
10529,option,100,153.5,185.0,3150.0,2021-11-16 06:00:03.060927+00:00,2021-11-16 08:15:03.110371+00:00,17950,ce,2,Bank50 Pyramiding_1,NIFTY
10535,option,250,27.75,33.5,1437.5,2021-11-16 06:05:03.778217+00:00,2021-11-16 08:45:08.021278+00:00,3700,ce,13,Baj-Auto Pyramiding[10]_vol,BAJAJ-AUTO
11673,option,-1200,11.7,24.0,14760.0,2021-11-22 04:30:01.029769+00:00,2021-11-22 09:00:04.339532+00:00,700,pe,6,AxisBank Pyramiding_10_vol,AXISBANK
7716,option,-250,35.25,39.15,974.9999999999997,2021-11-03 06:55:18.621108+00:00,2021-11-03 08:35:07.397258+00:00,3600,pe,13,Baj-Auto Pyramiding[10]_vol,BAJAJ-AUTO
14837,option,-1500,16.65,16.3,-524.9999999999968,2021-12-02 04:15:05.558256+00:00,2021-12-02 04:50:00.917518+00:00,475,pe,8,SBI Pyramiding[10]_atm,SBIN
14835,option,-1500,14.4,14.0,-600.0000000000006,2021-12-02 04:15:04.008228+00:00,2021-12-02 04:50:00.928689+00:00,470,pe,9,SBI Pyramiding[10]_vol,SBIN
11633,option,-25,501.0,464.15,-921.2500000000006,2021-11-22 04:00:06.220155+00:00,2021-11-22 04:30:02.439166+00:00,38000,pe,1,BankNifty Pyramiding_1,BANKNIFTY
14826,option,250,88.05,88.0,-12.49999999999929,2021-12-02 04:05:03.632391+00:00,2021-12-02 05:40:02.230168+00:00,3300,ce,12,Baj-Auto Pyramiding[10]_atm,BAJAJ-AUTO
3026,option,25,521.45,417.95,-2587.5000000000014,2021-10-21 05:00:17.418892+00:00,2021-10-21 05:30:01.077277+00:00,39200,ce,3,BankNifty Pyramiding_10,BANKNIFTY
14834,option,250,84.3,88.0,925.0000000000007,2021-12-02 04:15:02.372272+00:00,2021-12-02 05:40:02.230168+00:00,3300,ce,12,Baj-Auto Pyramiding[10]_atm,BAJAJ-AUTO
6790,option,-100,153.0,144.0,-900.0,2021-11-01 05:30:02.378942+00:00,2021-11-01 06:00:03.323080+00:00,17850,pe,2,Bank50 Pyramiding_1,NIFTY
6780,option,-250,60.0,56.5,-875.0,2021-11-01 05:20:16.367143+00:00,2021-11-01 06:10:24.099515+00:00,3600,pe,13,Baj-Auto Pyramiding[10]_vol,BAJAJ-AUTO
14823,option,25,464.85,404.95,-1497.500000000001,2021-12-02 04:05:01.675728+00:00,2021-12-02 06:30:03.584597+00:00,36000,ce,1,BankNifty Pyramiding_1,BANKNIFTY
6787,option,-250,101.0,97.65,-837.4999999999986,2021-11-01 05:25:21.050964+00:00,2021-11-01 06:10:24.116471+00:00,3700,pe,12,Baj-Auto Pyramiding[10]_atm,BAJAJ-AUTO
6796,option,25,457.1,,8097.499999999999,2021-11-01 05:45:03.351994+00:00,2021-11-01 08:24:55.892537+00:00,39100,ce,3,BankNifty Pyramiding_10,BANKNIFTY
6801,option,25,512.4,,8848.750000000002,2021-11-01 05:50:04.085167+00:00,2021-11-01 08:24:55.892537+00:00,39000,ce,3,BankNifty Pyramiding_10,BANKNIFTY
3035,option,-100,193.45,239.7,4625.0,2021-10-21 05:10:01.169861+00:00,2021-10-21 06:00:05.109418+00:00,18400,pe,2,Bank50 Pyramiding_1,NIFTY
11635,option,-25,457.7,464.15,161.24999999999972,2021-11-22 04:05:03.019522+00:00,2021-11-22 04:30:02.439166+00:00,38000,pe,1,BankNifty Pyramiding_1,BANKNIFTY
2994,option,-100,155.0,222.85,6784.999999999999,2021-10-21 04:45:02.991600+00:00,2021-10-21 06:15:01.146835+00:00,18400,pe,4,Nifty50 Pyramiding_10,NIFTY
3019,option,-100,164.5,222.85,5834.999999999999,2021-10-21 05:00:03.398537+00:00,2021-10-21 06:15:01.146835+00:00,18400,pe,4,Nifty50 Pyramiding_10,NIFTY
14830,option,25,511.0,490.0,-525.0,2021-12-02 04:10:02.487696+00:00,2021-12-02 06:30:03.584597+00:00,35900,ce,1,BankNifty Pyramiding_1,BANKNIFTY
14827,option,100,169.9,190.7,2079.999999999998,2021-12-02 04:10:01.058715+00:00,2021-12-02 06:50:00.807509+00:00,17100,ce,4,Nifty50 Pyramiding_10,NIFTY
14832,option,100,173.0,190.7,1769.9999999999989,2021-12-02 04:15:00.878155+00:00,2021-12-02 06:50:00.807509+00:00,17100,ce,4,Nifty50 Pyramiding_10,NIFTY
9632,option,-25,467.2,466.4,-20.000000000000284,2021-11-12 05:00:02.936242+00:00,2021-11-12 05:55:01.410696+00:00,38800,pe,1,BankNifty Pyramiding_1,BANKNIFTY
9657,option,-25,505.65,466.4,-981.25,2021-11-12 05:15:06.705266+00:00,2021-11-12 05:55:01.410696+00:00,38800,pe,1,BankNifty Pyramiding_1,BANKNIFTY
9671,option,-25,503.65,466.4,-931.25,2021-11-12 05:25:00.690544+00:00,2021-11-12 05:55:01.410696+00:00,38800,pe,1,BankNifty Pyramiding_1,BANKNIFTY
9660,option,-100,156.65,134.0,-2265.0000000000005,2021-11-12 05:15:09.213293+00:00,2021-11-12 05:55:03.134107+00:00,18000,pe,4,Nifty50 Pyramiding_10,NIFTY
7733,option,-100,166.25,182.15,1590.0000000000005,2021-11-03 07:10:51.237330+00:00,2021-11-03 07:15:02.143671+00:00,17950,pe,2,Bank50 Pyramiding_1,NIFTY
9642,option,-25,478.9,440.2,-967.4999999999998,2021-11-12 05:05:02.574509+00:00,2021-11-12 06:05:01.640295+00:00,38800,pe,3,BankNifty Pyramiding_10,BANKNIFTY
9650,option,-25,470.25,385.8,-2111.2499999999995,2021-11-12 05:10:02.142215+00:00,2021-11-12 06:05:01.640295+00:00,38700,pe,3,BankNifty Pyramiding_10,BANKNIFTY
7734,option,25,451.0,375.55,-1886.2499999999998,2021-11-03 07:15:01.677138+00:00,2021-11-03 07:40:02.751967+00:00,39800,ce,1,BankNifty Pyramiding_1,BANKNIFTY
