id,nfo_type,quantity,entry_price,exit_price,profit,placed_at,exited_at,strike,option_type,strategy_id,strategy_name,symbol
21046,option,100,157.5,115.3,-4250.0,2021-12-30 05:00:02.662223+00:00,2021-12-30 06:15:04.583610+00:00,17100,ce,4,Nifty50 Pyramiding_10,NIFTY
21047,option,100,158.6,98.7,-6019.999999999999,2021-12-30 05:00:04.775743+00:00,2021-12-30 09:35:01.153445+00:00,17100,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21048,option,25,529.7,386.4,-3612.500000000002,2021-12-30 05:00:05.545432+00:00,2021-12-30 06:10:02.611120+00:00,34500,ce,3,BankNifty Pyramiding_10,BANKNIFTY
21050,option,100,153.5,132.4,-2139.9999999999995,2021-12-30 05:04:34.975453+00:00,2021-12-30 05:50:01.957334+00:00,17100,ce,2,Nifty50 Pyramiding_1,NIFTY
21051,option,100,152.25,115.3,-3725.0000000000005,2021-12-30 05:05:01.002560+00:00,2021-12-30 06:15:04.583610+00:00,17100,ce,4,Nifty50 Pyramiding_10,NIFTY
21052,option,100,152.25,98.7,-5385.0,2021-12-30 05:05:00.874864+00:00,2021-12-30 09:35:01.153445+00:00,17100,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21053,option,25,512.8,386.4,-3189.9999999999995,2021-12-30 05:05:02.573194+00:00,2021-12-30 06:10:02.611120+00:00,34500,ce,3,BankNifty Pyramiding_10,BANKNIFTY
21055,option,100,196.6,161.65,-3524.999999999999,2021-12-30 05:10:01.067228+00:00,2021-12-30 06:15:04.583610+00:00,17050,ce,4,Nifty50 Pyramiding_10,NIFTY
21056,option,100,196.6,149.3,-4759.999999999998,2021-12-30 05:10:01.254301+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21058,option,25,490.8,386.4,-2640.000000000001,2021-12-30 05:10:02.775567+00:00,2021-12-30 06:10:02.611120+00:00,34500,ce,3,BankNifty Pyramiding_10,BANKNIFTY
21059,option,100,190.8,149.3,-4180.0,2021-12-30 05:15:01.243531+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21060,option,100,190.8,161.65,-2945.0000000000005,2021-12-30 05:15:01.277454+00:00,2021-12-30 06:15:04.583610+00:00,17050,ce,4,Nifty50 Pyramiding_10,NIFTY
21062,option,100,193.4,149.3,-4439.999999999999,2021-12-30 05:20:00.610118+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21064,option,100,193.4,161.65,-3205.0,2021-12-30 05:20:00.769580+00:00,2021-12-30 06:15:04.583610+00:00,17050,ce,4,Nifty50 Pyramiding_10,NIFTY
21065,option,-25,471.7,465.5,-184.99999999999972,2021-12-30 05:25:01.625350+00:00,2021-12-30 06:45:03.070152+00:00,35400,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
21067,option,100,188.75,161.65,-2739.9999999999995,2021-12-30 05:25:03.702258+00:00,2021-12-30 06:15:04.583610+00:00,17050,ce,4,Nifty50 Pyramiding_10,NIFTY
21068,option,100,188.75,149.3,-3974.999999999999,2021-12-30 05:25:03.419873+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21069,option,-25,477.55,465.5,-331.2500000000003,2021-12-30 05:30:01.326532+00:00,2021-12-30 06:45:03.070152+00:00,35400,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
21071,option,100,189.1,161.65,-2774.999999999999,2021-12-30 05:30:02.996809+00:00,2021-12-30 06:15:04.583610+00:00,17050,ce,4,Nifty50 Pyramiding_10,NIFTY
21072,option,100,189.1,149.3,-4009.999999999998,2021-12-30 05:30:03.008613+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21073,option,100,188.25,149.3,-3924.999999999999,2021-12-30 05:35:00.732407+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21074,option,100,188.25,161.65,-2689.9999999999995,2021-12-30 05:35:00.881903+00:00,2021-12-30 06:15:04.583610+00:00,17050,ce,4,Nifty50 Pyramiding_10,NIFTY
21075,option,-25,486.75,465.5,-561.25,2021-12-30 05:35:03.302588+00:00,2021-12-30 06:45:03.070152+00:00,35400,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
21077,option,100,190.05,149.3,-4105.0,2021-12-30 05:40:01.933995+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21079,option,100,190.05,161.65,-2870.0000000000005,2021-12-30 05:40:02.082777+00:00,2021-12-30 06:15:04.583610+00:00,17050,ce,4,Nifty50 Pyramiding_10,NIFTY
21080,option,-25,474.95,465.5,-266.2499999999997,2021-12-30 05:40:05.374584+00:00,2021-12-30 06:45:03.070152+00:00,35400,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
21081,option,100,183.7,161.65,-2234.999999999998,2021-12-30 05:45:00.856710+00:00,2021-12-30 06:15:04.583610+00:00,17050,ce,4,Nifty50 Pyramiding_10,NIFTY
21083,option,100,182.45,149.3,-3344.9999999999977,2021-12-30 05:45:02.425396+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21084,option,-25,498.0,465.5,-842.5,2021-12-30 05:45:03.010860+00:00,2021-12-30 06:45:03.070152+00:00,35400,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
21085,option,100,179.25,149.3,-3024.999999999999,2021-12-30 05:50:01.807869+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21086,option,-100,173.85,176.0,185.00000000000057,2021-12-30 05:50:01.957334+00:00,2021-12-30 06:30:03.222500+00:00,17400,pe,2,Nifty50 Pyramiding_1,NIFTY
21087,option,100,179.25,161.65,-1789.9999999999995,2021-12-30 05:50:03.654721+00:00,2021-12-30 06:15:04.583610+00:00,17050,ce,4,Nifty50 Pyramiding_10,NIFTY
21088,option,-25,500.95,465.5,-916.2499999999998,2021-12-30 05:50:03.711786+00:00,2021-12-30 06:45:03.070152+00:00,35400,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
21090,option,100,183.6,149.3,-3459.999999999998,2021-12-30 05:55:01.295697+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21092,option,-25,480.35,465.5,-401.25000000000057,2021-12-30 05:55:02.112563+00:00,2021-12-30 06:45:03.070152+00:00,35400,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
21094,option,-25,483.3,465.5,-475.0000000000003,2021-12-30 06:00:07.918043+00:00,2021-12-30 06:45:03.070152+00:00,35400,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
21095,option,100,181.1,149.3,-3209.999999999998,2021-12-30 06:00:09.920526+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21096,option,100,175.6,149.3,-2659.999999999998,2021-12-30 06:05:00.772107+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21097,option,-25,511.95,465.5,-1191.2499999999998,2021-12-30 06:05:01.693706+00:00,2021-12-30 06:45:03.070152+00:00,35400,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
21099,option,100,164.45,149.3,-1544.9999999999977,2021-12-30 06:10:00.972409+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21100,option,-100,190.15,176.0,-1445.0000000000005,2021-12-30 06:10:01.189336+00:00,2021-12-30 06:30:03.222500+00:00,17400,pe,2,Nifty50 Pyramiding_1,NIFTY
21101,option,-25,539.85,378.65,-4060.000000000001,2021-12-30 06:10:02.611120+00:00,2021-12-30 07:30:03.722001+00:00,35400,pe,3,BankNifty Pyramiding_10,BANKNIFTY
21102,option,-25,539.85,372.65,-4210.000000000001,2021-12-30 06:10:02.846984+00:00,2021-12-30 07:30:06.115528+00:00,35400,pe,1,BankNifty Pyramiding_1,BANKNIFTY
21104,option,-25,545.0,465.5,-2017.5,2021-12-30 06:10:04.522445+00:00,2021-12-30 06:45:03.070152+00:00,35400,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
21105,option,100,161.65,149.3,-1264.9999999999995,2021-12-30 06:15:04.447032+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21106,option,-100,193.0,163.95,-2935.000000000001,2021-12-30 06:15:04.583610+00:00,2021-12-30 07:05:06.223731+00:00,17400,pe,4,Nifty50 Pyramiding_10,NIFTY
21107,option,-25,450.95,285.0,-4178.75,2021-12-30 06:15:06.604384+00:00,2021-12-30 07:30:03.722001+00:00,35300,pe,3,BankNifty Pyramiding_10,BANKNIFTY
21108,option,-100,193.0,176.0,-1730.0,2021-12-30 06:15:06.009586+00:00,2021-12-30 06:30:03.222500+00:00,17400,pe,2,Nifty50 Pyramiding_1,NIFTY
21110,option,-25,543.9,465.5,-1989.9999999999995,2021-12-30 06:15:07.537079+00:00,2021-12-30 06:45:03.070152+00:00,35400,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
21111,option,100,167.9,149.3,-1889.9999999999995,2021-12-30 06:20:01.906140+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21112,option,-25,521.0,378.65,-3588.7500000000005,2021-12-30 06:20:01.989004+00:00,2021-12-30 07:30:03.722001+00:00,35400,pe,3,BankNifty Pyramiding_10,BANKNIFTY
21113,option,-100,185.0,163.95,-2135.000000000001,2021-12-30 06:20:03.262720+00:00,2021-12-30 07:05:06.223731+00:00,17400,pe,4,Nifty50 Pyramiding_10,NIFTY
21115,option,-25,517.9,465.5,-1339.9999999999995,2021-12-30 06:20:04.921136+00:00,2021-12-30 06:45:03.070152+00:00,35400,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
21116,option,100,178.0,149.3,-2899.999999999999,2021-12-30 06:25:01.726716+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21117,option,-100,175.0,163.95,-1135.0000000000011,2021-12-30 06:25:01.842942+00:00,2021-12-30 07:05:06.223731+00:00,17400,pe,4,Nifty50 Pyramiding_10,NIFTY
21118,option,-25,475.0,378.65,-2438.7500000000005,2021-12-30 06:25:07.268201+00:00,2021-12-30 07:30:03.722001+00:00,35400,pe,3,BankNifty Pyramiding_10,BANKNIFTY
21119,option,-25,475.0,465.5,-267.5,2021-12-30 06:25:07.828955+00:00,2021-12-30 06:45:03.070152+00:00,35400,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
