Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
42,Exit Long,short,2022-01-13 10:35,18231.05,1,-8.68,0,27374.41,0,3610.00,0.4,537.50,0.06
43,Entry Long,long,2022-01-13 09:25,18263.70,1,-1653.68,-0.18,25740.73,-0.02,1965.00,0.22,2182.50,0.24
43,Exit Long,short,2022-01-13 10:35,18231.05,1,-1653.68,-0.18,25740.73,-0.02,1965.00,0.22,2182.50,0.24
44,Entry Long,long,2022-01-13 09:30,18275.00,1,-2218.68,-0.24,23542.06,-0.02,1400.00,0.15,2747.50,0.3
44,Exit Long,short,2022-01-13 10:35,18231.05,1,-2218.68,-0.24,23542.06,-0.02,1400.00,0.15,2747.50,0.3
45,Entry Long,long,2022-01-13 09:35,18282.05,1,-2571.18,-0.28,20990.88,-0.03,1047.50,0.11,3100.00,0.34
45,Exit Long,short,2022-01-13 10:35,18231.05,1,-2571.18,-0.28,20990.88,-0.03,1047.50,0.11,3100.00,0.34
46,Entry Long,long,2022-01-13 09:40,18296.95,1,-3316.18,-0.36,17694.71,-0.03,302.50,0.03,3845.00,0.42
46,Exit Long,short,2022-01-13 10:35,18231.05,1,-3316.18,-0.36,17694.71,-0.03,302.50,0.03,3845.00,0.42
47,Entry Long,long,2022-01-13 09:45,18295.85,1,-3261.18,-0.36,14453.53,-0.03,357.50,0.04,3790.00,0.41
47,Exit Long,short,2022-01-13 10:35,18231.05,1,-3261.18,-0.36,14453.53,-0.03,357.50,0.04,3790.00,0.41
48,Entry Long,long,2022-01-13 09:50,18289.00,1,-2918.68,-0.32,11554.85,-0.03,142.50,0.02,3447.50,0.38
48,Exit Long,short,2022-01-13 10:35,18231.05,1,-2918.68,-0.32,11554.85,-0.03,142.50,0.02,3447.50,0.38
49,Entry Long,long,2022-01-13 09:55,18285.00,1,-2718.68,-0.3,8856.18,-0.03,327.50,0.04,3247.50,0.36
49,Exit Long,short,2022-01-13 10:35,18231.05,1,-2718.68,-0.3,8856.18,-0.03,327.50,0.04,3247.50,0.36
50,Entry Short,short,2022-01-13 10:35,18231.05,1,-602.68,-0.07,8193.50,-0.01,1693.82,0.19,1146.18,0.13
50,Exit Short,long,2022-01-13 11:10,18243.00,1,-602.68,-0.07,8193.50,-0.01,1693.82,0.19,1146.18,0.13
51,Entry Short,short,2022-01-13 10:40,18209.00,1,-1724.00,-0.19,6489.50,-0.02,572.50,0.06,2267.50,0.25
