Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
49,Entry Short,short,2022-01-04 13:20,36741.00,1,-5618.00,-0.61,-106886.50,-0.06,2551.25,0.28,5920.00,0.64
49,Exit Short,long,2022-01-04 14:45,36964.90,1,-5618.00,-0.61,-106886.50,-0.06,2551.25,0.28,5920.00,0.64
50,Entry Short,short,2022-01-04 13:25,36789.85,1,-4396.75,-0.48,-111263.25,-0.04,3772.50,0.41,4698.75,0.51
50,Exit Short,long,2022-01-04 14:45,36964.90,1,-4396.75,-0.48,-111263.25,-0.04,3772.50,0.41,4698.75,0.51
51,Entry Short,short,2022-01-04 13:30,36784.50,1,-4530.50,-0.49,-115773.75,-0.05,3638.75,0.4,4832.50,0.53
51,Exit Short,long,2022-01-04 14:45,36964.90,1,-4530.50,-0.49,-115773.75,-0.05,3638.75,0.4,4832.50,0.53
52,Entry Short,short,2022-01-04 13:35,36765.25,1,-5011.75,-0.55,-120765.50,-0.05,3157.50,0.34,5313.75,0.58
52,Exit Short,long,2022-01-04 14:45,36964.90,1,-5011.75,-0.55,-120765.50,-0.05,3157.50,0.34,5313.75,0.58
53,Entry Short,short,2022-01-04 13:40,36719.60,1,-6153.00,-0.67,-126898.50,-0.06,2016.25,0.22,6455.00,0.7
53,Exit Short,long,2022-01-04 14:45,36964.90,1,-6153.00,-0.67,-126898.50,-0.06,2016.25,0.22,6455.00,0.7
54,Entry Short,short,2022-01-04 13:45,36653.85,1,-7796.75,-0.85,-134675.25,-0.08,372.50,0.04,8098.75,0.88
54,Exit Short,long,2022-01-04 14:45,36964.90,1,-7796.75,-0.85,-134675.25,-0.08,372.50,0.04,8098.75,0.88
55,Entry Short,short,2022-01-04 13:50,36670.90,1,-7370.50,-0.8,-142025.75,-0.07,18.75,0,7672.50,0.84
55,Exit Short,long,2022-01-04 14:45,36964.90,1,-7370.50,-0.8,-142025.75,-0.07,18.75,0,7672.50,0.84
56,Entry Short,short,2022-01-04 13:55,36722.50,1,-6080.50,-0.66,-148086.25,-0.06,382.50,0.04,6382.50,0.7
56,Exit Short,long,2022-01-04 14:45,36964.90,1,-6080.50,-0.66,-148086.25,-0.06,382.50,0.04,6382.50,0.7
57,Entry Short,short,2022-01-04 14:00,36748.10,1,-5440.50,-0.59,-153506.75,-0.06,182.50,0.02,5742.50,0.63
57,Exit Short,long,2022-01-04 14:45,36964.90,1,-5440.50,-0.59,-153506.75,-0.06,182.50,0.02,5742.50,0.63
58,Entry Short,short,2022-01-04 14:05,36852.45,1,-2831.75,-0.31,-156318.50,-0.03,1016.25,0.11,3133.75,0.34
58,Exit Short,long,2022-01-04 14:45,36964.90,1,-2831.75,-0.31,-156318.50,-0.03,1016.25,0.11,3133.75,0.34
59,Entry Short,short,2022-01-04 14:10,36835.05,1,-3266.75,-0.35,-159565.25,-0.03,547.50,0.06,3568.75,0.39
59,Exit Short,long,2022-01-04 14:45,36964.90,1,-3266.75,-0.35,-159565.25,-0.03,547.50,0.06,3568.75,0.39
60,Entry Short,short,2022-01-04 14:15,36844.05,1,-3041.75,-0.33,-162587.00,-0.03,385.00,0.04,3343.75,0.36
60,Exit Short,long,2022-01-04 14:45,36964.90,1,-3041.75,-0.33,-162587.00,-0.03,385.00,0.04,3343.75,0.36
61,Entry Short,short,2022-01-04 14:20,36870.00,1,-2393.00,-0.26,-164960.00,-0.02,1033.75,0.11,2695.00,0.29
61,Exit Short,long,2022-01-04 14:45,36964.90,1,-2393.00,-0.26,-164960.00,-0.02,1033.75,0.11,2695.00,0.29
62,Entry Short,short,2022-01-04 14:25,36878.00,1,-2193.00,-0.24,-167133.00,-0.02,1233.75,0.13,2495.00,0.27
62,Exit Short,long,2022-01-04 14:45,36964.90,1,-2193.00,-0.24,-167133.00,-0.02,1233.75,0.13,2495.00,0.27
63,Entry Short,short,2022-01-04 14:30,36855.00,1,-2768.00,-0.3,-169881.00,-0.03,307.50,0.03,3070.00,0.33
63,Exit Short,long,2022-01-04 14:45,36964.90,1,-2768.00,-0.3,-169881.00,-0.03,307.50,0.03,3070.00,0.33
64,Entry Short,short,2022-01-04 14:35,36865.00,1,-2518.00,-0.27,-172379.00,-0.03,280.00,0.03,2820.00,0.31
64,Exit Short,long,2022-01-04 14:45,36964.90,1,-2518.00,-0.27,-172379.00,-0.03,280.00,0.03,2820.00,0.31
65,Entry Short,short,2022-01-04 14:40,36957.25,1,-211.75,-0.02,-172570.75,0,373.75,0.04,513.75,0.06
65,Exit Short,long,2022-01-04 14:45,36964.90,1,-211.75,-0.02,-172570.75,0,373.75,0.04,513.75,0.06
66,Entry Long,long,2022-01-04 14:45,36964.90,1,22080.50,2.39,-152050.25,0.22,25575.75,2.77,2863.00,0.31
66,Exit Long,short,2022-01-05 15:05,37848.15,1,22080.50,2.39,-152050.25,0.22,25575.75,2.77,2863.00,0.31
67,Entry Long,long,2022-01-04 14:50,36930.10,1,22931.00,2.48,-129099.25,0.23,26426.25,2.86,2012.50,0.22
67,Exit Long,short,2022-01-05 15:05,37848.15,1,22931.00,2.48,-129099.25,0.23,26426.25,2.86,2012.50,0.22
68,Entry Long,long,2022-01-04 14:55,36961.95,1,22134.75,2.4,-106944.50,0.22,25630.00,2.77,2808.75,0.3
68,Exit Long,short,2022-01-05 15:05,37848.15,1,22134.75,2.4,-106944.50,0.22,25630.00,2.77,2808.75,0.3
69,Entry Long,long,2022-01-04 15:00,36950.00,1,22433.50,2.43,-84491.00,0.23,25928.75,2.81,2510.00,0.27
69,Exit Long,short,2022-01-05 15:05,37848.15,1,22433.50,2.43,-84491.00,0.23,25928.75,2.81,2510.00,0.27
70,Entry Long,long,2022-01-04 15:05,36936.00,1,22783.50,2.47,-61687.50,0.23,26278.75,2.85,2160.00,0.23
70,Exit Long,short,2022-01-05 15:05,37848.15,1,22783.50,2.47,-61687.50,0.23,26278.75,2.85,2160.00,0.23
71,Entry Long,long,2022-01-04 15:10,36931.80,1,22888.50,2.48,-38779.00,0.23,26383.75,2.86,2055.00,0.22
71,Exit Long,short,2022-01-05 15:05,37848.15,1,22888.50,2.48,-38779.00,0.23,26383.75,2.86,2055.00,0.22
72,Entry Long,long,2022-01-04 15:15,36944.50,1,22571.00,2.44,-16188.00,0.23,26066.25,2.82,2372.50,0.26
72,Exit Long,short,2022-01-05 15:05,37848.15,1,22571.00,2.44,-16188.00,0.23,26066.25,2.82,2372.50,0.26
73,Entry Long,long,2022-01-04 15:20,36977.85,1,21737.25,2.35,5569.25,0.22,25232.50,2.73,3206.25,0.35
73,Exit Long,short,2022-01-05 15:05,37848.15,1,21737.25,2.35,5569.25,0.22,25232.50,2.73,3206.25,0.35
74,Entry Long,long,2022-01-04 15:25,37006.05,1,21032.25,2.27,26621.50,0.21,24527.50,2.65,3911.25,0.42
74,Exit Long,short,2022-01-05 15:05,37848.15,1,21032.25,2.27,26621.50,0.21,24527.50,2.65,3911.25,0.42
75,Entry Long,long,2022-01-05 09:15,37000.50,1,21171.00,2.29,47812.50,0.21,24666.25,2.67,3772.50,0.41
75,Exit Long,short,2022-01-05 15:05,37848.15,1,21171.00,2.29,47812.50,0.21,24666.25,2.67,3772.50,0.41
76,Entry Long,long,2022-01-05 09:20,37155.40,1,17298.50,1.86,65131.00,0.17,20793.75,2.24,1850.00,0.2
76,Exit Long,short,2022-01-05 15:05,37848.15,1,17298.50,1.86,65131.00,0.17,20793.75,2.24,1850.00,0.2
77,Entry Long,long,2022-01-05 09:25,37239.00,1,15208.50,1.63,80359.50,0.15,18703.75,2.01,3940.00,0.42
77,Exit Long,short,2022-01-05 15:05,37848.15,1,15208.50,1.63,80359.50,0.15,18703.75,2.01,3940.00,0.42
78,Entry Long,long,2022-01-05 09:30,37235.40,1,15298.50,1.64,95678.00,0.15,18793.75,2.02,3850.00,0.41
78,Exit Long,short,2022-01-05 15:05,37848.15,1,15298.50,1.64,95678.00,0.15,18793.75,2.02,3850.00,0.41
79,Entry Long,long,2022-01-05 09:35,37173.00,1,16858.50,1.81,112556.50,0.17,20353.75,2.19,2290.00,0.25
79,Exit Long,short,2022-01-05 15:05,37848.15,1,16858.50,1.81,112556.50,0.17,20353.75,2.19,2290.00,0.25
80,Entry Long,long,2022-01-05 09:40,37088.25,1,18977.25,2.05,131553.75,0.19,22472.50,2.42,171.25,0.02
80,Exit Long,short,2022-01-05 15:05,37848.15,1,18977.25,2.05,131553.75,0.19,22472.50,2.42,171.25,0.02
81,Entry Long,long,2022-01-05 09:45,37195.60,1,16293.50,1.75,147867.25,0.16,19788.75,2.13,20.00,0
81,Exit Long,short,2022-01-05 15:05,37848.15,1,16293.50,1.75,147867.25,0.16,19788.75,2.13,20.00,0
82,Entry Long,long,2022-01-05 09:50,37311.05,1,13407.25,1.44,161294.50,0.13,16902.50,1.81,296.25,0.03
82,Exit Long,short,2022-01-05 15:05,37848.15,1,13407.25,1.44,161294.50,0.13,16902.50,1.81,296.25,0.03
83,Entry Long,long,2022-01-05 09:55,37360.80,1,12163.50,1.3,173478.00,0.12,15658.75,1.68,390.00,0.04
83,Exit Long,short,2022-01-05 15:05,37848.15,1,12163.50,1.3,173478.00,0.12,15658.75,1.68,390.00,0.04
84,Entry Long,long,2022-01-05 10:00,37430.40,1,10423.50,1.11,183921.50,0.1,13918.75,1.49,1223.75,0.13
84,Exit Long,short,2022-01-05 15:05,37848.15,1,10423.50,1.11,183921.50,0.1,13918.75,1.49,1223.75,0.13
85,Entry Long,long,2022-01-05 10:05,37449.95,1,9934.75,1.06,193876.25,0.1,13430.00,1.43,1568.75,0.17
85,Exit Long,short,2022-01-05 15:05,37848.15,1,9934.75,1.06,193876.25,0.1,13430.00,1.43,1568.75,0.17
